Row ID,Order ID,Order Date,Ship Date,Customer ID,Customer Name,Country,City,State,Postal Code,Product ID,Product Name,Sales,Order Year,Order Month,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Corporate,Segment_Home Office,Region_East,Region_South,Region_West,Category_Office Supplies,Category_Technology,Sub-Category_Appliances,Sub-Category_Art,Sub-Category_Binders,Sub-Category_Bookcases,Sub-Category_Chairs,Sub-Category_Copiers,Sub-Category_Envelopes,Sub-Category_Fasteners,Sub-Category_Furnishings,Sub-Category_Labels,Sub-Category_Machines,Sub-Category_Paper,Sub-Category_Phones,Sub-Category_Storage,Sub-Category_Supplies,Sub-Category_Tables
1,CA-2017-152156,2017-11-08,2017-11-11,CG-12520,Claire Gute,United States,Henderson,Kentucky,-0.3987923438666134,FUR-BO-10001798,Bush Somerset Collection Bookcase,0.049776492003884426,2017,11,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2,CA-2017-152156,2017-11-08,2017-11-11,CG-12520,Claire Gute,United States,Henderson,Kentucky,-0.3987923438666134,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",0.7998005472699444,2017,11,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3,CA-2017-138688,2017-06-12,2017-06-16,DV-13045,Darrin Van Huff,United States,Los Angeles,California,1.0857263971991071,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,-0.3449444532055016,2017,6,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4,US-2016-108966,2016-10-11,2016-10-18,SO-20335,Sean O'Donnell,United States,Fort Lauderdale,Florida,-0.6827826247043076,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,1.1598872589812843,2016,10,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5,US-2016-108966,2016-10-11,2016-10-18,SO-20335,Sean O'Donnell,United States,Fort Lauderdale,Florida,-0.6827826247043076,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,-0.3325797007049666,2016,10,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
6,CA-2015-115812,2015-06-09,2015-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,1.085601689643574,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",-0.29030207767396854,2015,6,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
7,CA-2015-115812,2015-06-09,2015-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,1.085601689643574,OFF-AR-10002833,Newell 322,-0.3566580932873197,2015,6,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,CA-2015-115812,2015-06-09,2015-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,1.085601689643574,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,1.0794150303783254,2015,6,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
9,CA-2015-115812,2015-06-09,2015-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,1.085601689643574,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,-0.33874611831752044,2015,6,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10,CA-2015-115812,2015-06-09,2015-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,1.085601689643574,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,-0.18491123421303277,2015,6,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,CA-2015-115812,2015-06-09,2015-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,1.085601689643574,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,2.354561251339537,2015,6,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12,CA-2015-115812,2015-06-09,2015-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,1.085601689643574,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,1.0862325604095961,2015,6,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
